2024-12-30 19:02:33 - Model: ComplexCNN_1230_UE
2024-12-30 19:02:33 - Learning rate: 0.001
2024-12-30 19:02:33 - Number of epochs: 128
2024-12-30 19:02:33 - Train batch size: 64
2024-12-30 19:02:33 - Test batch size: 64
2024-12-30 19:02:33 - Federated learning epochs: 100
2024-12-30 19:02:33 - Number of clients: 10
2024-12-30 19:02:37 - Before train, fl0Client4 gNB_test Accuracy  10.0 %
2024-12-30 19:02:37 - Before train, fl0Client4 client_test Accuracy  11.3 %
2024-12-30 19:02:39 - running Epoch:0, fl78Client4,avg_loss is 1.8608974097650262
2024-12-30 19:02:41 - running Epoch:1, fl78Client4,avg_loss is 1.5142547254320942
2024-12-30 19:02:42 - running Epoch:2, fl78Client4,avg_loss is 1.4103121682058406
2024-12-30 19:02:43 - running Epoch:3, fl78Client4,avg_loss is 1.228302439556846
2024-12-30 19:02:45 - running Epoch:4, fl78Client4,avg_loss is 1.1433963918987708
2024-12-30 19:02:46 - running Epoch:5, fl78Client4,avg_loss is 1.0307903546321242
2024-12-30 19:02:48 - running Epoch:6, fl78Client4,avg_loss is 0.9344620327406292
2024-12-30 19:02:49 - running Epoch:7, fl78Client4,avg_loss is 0.8150770053078856
2024-12-30 19:02:51 - running Epoch:8, fl78Client4,avg_loss is 0.7274776233147972
2024-12-30 19:02:52 - running Epoch:9, fl78Client4,avg_loss is 0.6200817438620555
2024-12-30 19:02:53 - running Epoch:10, fl78Client4,avg_loss is 0.4946145177642001
2024-12-30 19:02:55 - running Epoch:11, fl78Client4,avg_loss is 0.4715257100289381
2024-12-30 19:02:56 - running Epoch:12, fl78Client4,avg_loss is 0.3370582773527013
2024-12-30 19:02:58 - running Epoch:13, fl78Client4,avg_loss is 0.40676832312270056
2024-12-30 19:02:59 - running Epoch:14, fl78Client4,avg_loss is 0.30055597169867043
2024-12-30 19:03:01 - running Epoch:15, fl78Client4,avg_loss is 0.21251432900611736
2024-12-30 19:03:03 - running Epoch:16, fl78Client4,avg_loss is 0.12750721102745471
2024-12-30 19:03:04 - running Epoch:17, fl78Client4,avg_loss is 0.1739649760147816
2024-12-30 19:03:05 - running Epoch:18, fl78Client4,avg_loss is 0.13332115427319763
2024-12-30 19:03:07 - running Epoch:19, fl78Client4,avg_loss is 0.11806807131801225
2024-12-30 19:03:08 - running Epoch:20, fl78Client4,avg_loss is 0.09719412750269793
2024-12-30 19:03:10 - running Epoch:21, fl78Client4,avg_loss is 0.06347134435855889
2024-12-30 19:03:11 - running Epoch:22, fl78Client4,avg_loss is 0.07151813628269901
2024-12-30 19:03:13 - running Epoch:23, fl78Client4,avg_loss is 0.15953822363215156
2024-12-30 19:03:14 - running Epoch:24, fl78Client4,avg_loss is 0.1308160577547041
2024-12-30 19:03:15 - running Epoch:25, fl78Client4,avg_loss is 0.1719960972159818
2024-12-30 19:03:17 - running Epoch:26, fl78Client4,avg_loss is 0.0972399181874964
2024-12-30 19:03:18 - running Epoch:27, fl78Client4,avg_loss is 0.05371855154539211
2024-12-30 19:03:20 - running Epoch:28, fl78Client4,avg_loss is 0.023444680084439017
2024-12-30 19:03:21 - running Epoch:29, fl78Client4,avg_loss is 0.011203111317546602
2024-12-30 19:03:23 - running Epoch:30, fl78Client4,avg_loss is 0.019361515674972907
2024-12-30 19:03:24 - running Epoch:31, fl78Client4,avg_loss is 0.029235966426255536
2024-12-30 19:03:26 - running Epoch:32, fl78Client4,avg_loss is 0.27561803421453585
2024-12-30 19:03:27 - running Epoch:33, fl78Client4,avg_loss is 0.03899609787047758
2024-12-30 19:03:28 - running Epoch:34, fl78Client4,avg_loss is 0.015333633928830866
2024-12-30 19:03:30 - running Epoch:35, fl78Client4,avg_loss is 0.037235506846351386
2024-12-30 19:03:31 - running Epoch:36, fl78Client4,avg_loss is 0.10724764399796347
2024-12-30 19:03:33 - running Epoch:37, fl78Client4,avg_loss is 0.05168839296122683
2024-12-30 19:03:34 - running Epoch:38, fl78Client4,avg_loss is 0.08309520281780558
2024-12-30 19:03:36 - running Epoch:39, fl78Client4,avg_loss is 0.11331980725266982
2024-12-30 19:03:37 - running Epoch:40, fl78Client4,avg_loss is 0.03144697086808944
2024-12-30 19:03:39 - running Epoch:41, fl78Client4,avg_loss is 0.08696713555851786
2024-12-30 19:03:40 - running Epoch:42, fl78Client4,avg_loss is 0.06767907771252425
2024-12-30 19:03:41 - running Epoch:43, fl78Client4,avg_loss is 0.09152185548202996
2024-12-30 19:03:43 - running Epoch:44, fl78Client4,avg_loss is 0.0252409042421024
2024-12-30 19:03:44 - running Epoch:45, fl78Client4,avg_loss is 0.020317243504974568
2024-12-30 19:03:46 - running Epoch:46, fl78Client4,avg_loss is 0.015995936976639626
2024-12-30 19:03:47 - running Epoch:47, fl78Client4,avg_loss is 0.008394147208226841
2024-12-30 19:03:49 - running Epoch:48, fl78Client4,avg_loss is 0.012871638715388385
2024-12-30 19:03:50 - running Epoch:49, fl78Client4,avg_loss is 0.01005922871760809
2024-12-30 19:03:52 - running Epoch:50, fl78Client4,avg_loss is 0.008438553902872431
2024-12-30 19:03:53 - running Epoch:51, fl78Client4,avg_loss is 0.022139700958350543
2024-12-30 19:03:55 - running Epoch:52, fl78Client4,avg_loss is 0.051921304846565604
2024-12-30 19:03:56 - running Epoch:53, fl78Client4,avg_loss is 0.0829151250198012
2024-12-30 19:03:58 - running Epoch:54, fl78Client4,avg_loss is 0.027531590377558257
2024-12-30 19:03:59 - running Epoch:55, fl78Client4,avg_loss is 0.24556797868395341
2024-12-30 19:04:01 - running Epoch:56, fl78Client4,avg_loss is 0.07836003874169215
2024-12-30 19:04:02 - running Epoch:57, fl78Client4,avg_loss is 0.033603744167256866
2024-12-30 19:04:03 - running Epoch:58, fl78Client4,avg_loss is 0.020408198804022816
2024-12-30 19:04:05 - running Epoch:59, fl78Client4,avg_loss is 0.10608109847430282
2024-12-30 19:04:06 - running Epoch:60, fl78Client4,avg_loss is 0.09540197492541769
2024-12-30 19:04:08 - running Epoch:61, fl78Client4,avg_loss is 0.03300049517722211
2024-12-30 19:04:09 - running Epoch:62, fl78Client4,avg_loss is 0.009887001875333364
2024-12-30 19:04:11 - running Epoch:63, fl78Client4,avg_loss is 0.008120405171994898
2024-12-30 19:04:12 - running Epoch:64, fl78Client4,avg_loss is 0.10459722015753246
2024-12-30 19:04:13 - running Epoch:65, fl78Client4,avg_loss is 0.048769085379199516
2024-12-30 19:04:15 - running Epoch:66, fl78Client4,avg_loss is 0.10045110844841958
2024-12-30 19:04:16 - running Epoch:67, fl78Client4,avg_loss is 0.03429021376783405
2024-12-30 19:04:18 - running Epoch:68, fl78Client4,avg_loss is 0.020658769074509132
2024-12-30 19:04:19 - running Epoch:69, fl78Client4,avg_loss is 0.014987470146122719
2024-12-30 19:04:20 - running Epoch:70, fl78Client4,avg_loss is 0.012222132298880245
2024-12-30 19:04:22 - running Epoch:71, fl78Client4,avg_loss is 0.05991852688813093
2024-12-30 19:04:23 - running Epoch:72, fl78Client4,avg_loss is 0.02769801762659409
2024-12-30 19:04:25 - running Epoch:73, fl78Client4,avg_loss is 0.017685911526440796
2024-12-30 19:04:26 - running Epoch:74, fl78Client4,avg_loss is 0.020341215958403235
2024-12-30 19:04:28 - running Epoch:75, fl78Client4,avg_loss is 0.006226028557303156
2024-12-30 19:04:29 - running Epoch:76, fl78Client4,avg_loss is 0.0048084631444344035
2024-12-30 19:04:31 - running Epoch:77, fl78Client4,avg_loss is 0.01171693803548748
2024-12-30 19:04:32 - running Epoch:78, fl78Client4,avg_loss is 0.00951118032428929
2024-12-30 19:04:34 - running Epoch:79, fl78Client4,avg_loss is 0.036191424257099876
2024-12-30 19:04:35 - running Epoch:80, fl78Client4,avg_loss is 0.04235606517972825
2024-12-30 19:04:36 - running Epoch:81, fl78Client4,avg_loss is 0.05682776592041165
2024-12-30 19:04:38 - running Epoch:82, fl78Client4,avg_loss is 0.022487537280724182
2024-12-30 19:04:40 - running Epoch:83, fl78Client4,avg_loss is 0.031875345025571135
2024-12-30 19:04:41 - running Epoch:84, fl78Client4,avg_loss is 0.011655122633725758
2024-12-30 19:04:43 - running Epoch:85, fl78Client4,avg_loss is 0.019695914097357235
2024-12-30 19:04:44 - running Epoch:86, fl78Client4,avg_loss is 0.012472522471962523
2024-12-30 19:04:45 - running Epoch:87, fl78Client4,avg_loss is 0.002181578157559889
2024-12-30 19:04:47 - running Epoch:88, fl78Client4,avg_loss is 0.0030407965400799978
2024-12-30 19:04:48 - running Epoch:89, fl78Client4,avg_loss is 0.02810808255190186
2024-12-30 19:04:50 - running Epoch:90, fl78Client4,avg_loss is 0.14925022842657246
2024-12-30 19:04:51 - running Epoch:91, fl78Client4,avg_loss is 0.027433443752808578
2024-12-30 19:04:53 - running Epoch:92, fl78Client4,avg_loss is 0.0878608069659647
2024-12-30 19:04:54 - running Epoch:93, fl78Client4,avg_loss is 0.03336084265404829
2024-12-30 19:04:55 - running Epoch:94, fl78Client4,avg_loss is 0.017009460665668726
2024-12-30 19:04:57 - running Epoch:95, fl78Client4,avg_loss is 0.004385347040152749
2024-12-30 19:04:58 - running Epoch:96, fl78Client4,avg_loss is 0.001284839512986246
2024-12-30 19:05:00 - running Epoch:97, fl78Client4,avg_loss is 0.0007734769861611001
2024-12-30 19:05:01 - running Epoch:98, fl78Client4,avg_loss is 0.0007029902265032111
2024-12-30 19:05:03 - running Epoch:99, fl78Client4,avg_loss is 0.0019419872832823106
2024-12-30 19:05:04 - running Epoch:100, fl78Client4,avg_loss is 0.02785101159649538
2024-12-30 19:05:05 - running Epoch:101, fl78Client4,avg_loss is 0.06647021133272873
2024-12-30 19:05:07 - running Epoch:102, fl78Client4,avg_loss is 0.06977513094898313
2024-12-30 19:05:08 - running Epoch:103, fl78Client4,avg_loss is 0.06406479556101692
2024-12-30 19:05:10 - running Epoch:104, fl78Client4,avg_loss is 0.0244428081241955
2024-12-30 19:05:11 - running Epoch:105, fl78Client4,avg_loss is 0.021281876020307382
2024-12-30 19:05:12 - running Epoch:106, fl78Client4,avg_loss is 0.016430695973523847
2024-12-30 19:05:14 - running Epoch:107, fl78Client4,avg_loss is 0.007670577879160859
2024-12-30 19:05:15 - running Epoch:108, fl78Client4,avg_loss is 0.014961855115928567
2024-12-30 19:05:17 - running Epoch:109, fl78Client4,avg_loss is 0.016053895511803706
2024-12-30 19:05:18 - running Epoch:110, fl78Client4,avg_loss is 0.02795660445802621
2024-12-30 19:05:19 - running Epoch:111, fl78Client4,avg_loss is 0.0246684411986395
2024-12-30 19:05:21 - running Epoch:112, fl78Client4,avg_loss is 0.011182445639492413
2024-12-30 19:05:22 - running Epoch:113, fl78Client4,avg_loss is 0.0030789384487157987
2024-12-30 19:05:24 - running Epoch:114, fl78Client4,avg_loss is 0.014740372725687456
2024-12-30 19:05:25 - running Epoch:115, fl78Client4,avg_loss is 0.01658156931734072
2024-12-30 19:05:27 - running Epoch:116, fl78Client4,avg_loss is 0.0125451032569995
2024-12-30 19:05:28 - running Epoch:117, fl78Client4,avg_loss is 0.009398548729568345
2024-12-30 19:05:29 - running Epoch:118, fl78Client4,avg_loss is 0.02852539380509819
2024-12-30 19:05:31 - running Epoch:119, fl78Client4,avg_loss is 0.038440582832790136
2024-12-30 19:05:32 - running Epoch:120, fl78Client4,avg_loss is 0.026366868227019558
2024-12-30 19:05:34 - running Epoch:121, fl78Client4,avg_loss is 0.06776538869156797
2024-12-30 19:05:35 - running Epoch:122, fl78Client4,avg_loss is 0.020553051275230615
2024-12-30 19:05:37 - running Epoch:123, fl78Client4,avg_loss is 0.03462158629443803
2024-12-30 19:05:38 - running Epoch:124, fl78Client4,avg_loss is 0.008740740674039455
2024-12-30 19:05:39 - running Epoch:125, fl78Client4,avg_loss is 0.015943425508167026
2024-12-30 19:05:41 - running Epoch:126, fl78Client4,avg_loss is 0.01435670435925595
2024-12-30 19:05:42 - running Epoch:127, fl78Client4,avg_loss is 0.015618091613633405
2024-12-30 19:05:43 - After train, fl0Client4 gNB_test Accuracy  59.440000000000005 %
2024-12-30 19:05:44 - After train, fl0Client4 Test Accuracy  58.9 %
