2024-12-30 12:31:08 - Model: SimpleCNN_1230_UE
2024-12-30 12:31:08 - Learning rate: 0.001
2024-12-30 12:31:08 - Number of epochs: 64
2024-12-30 12:31:08 - Train batch size: 64
2024-12-30 12:31:08 - Test batch size: 64
2024-12-30 12:31:08 - Federated learning epochs: 100
2024-12-30 12:31:08 - Number of clients: 10
2024-12-30 12:31:13 - Before train, fl0Client4 gNB_test Accuracy  12.34 %
2024-12-30 12:31:13 - Before train, fl0Client4 client_test Accuracy  13.4 %
2024-12-30 12:31:15 - running Epoch:0, round:78,avg_loss is 2.0303106866305387
2024-12-30 12:31:16 - running Epoch:1, round:78,avg_loss is 1.6919174013258536
2024-12-30 12:31:17 - running Epoch:2, round:78,avg_loss is 1.5262583509276184
2024-12-30 12:31:18 - running Epoch:3, round:78,avg_loss is 1.378068913387347
2024-12-30 12:31:19 - running Epoch:4, round:78,avg_loss is 1.2636849140819115
2024-12-30 12:31:20 - running Epoch:5, round:78,avg_loss is 1.1867699389216266
2024-12-30 12:31:21 - running Epoch:6, round:78,avg_loss is 1.073038809661624
2024-12-30 12:31:22 - running Epoch:7, round:78,avg_loss is 0.9276024382325667
2024-12-30 12:31:23 - running Epoch:8, round:78,avg_loss is 0.7637307840057567
2024-12-30 12:31:24 - running Epoch:9, round:78,avg_loss is 0.684026093422612
2024-12-30 12:31:25 - running Epoch:10, round:78,avg_loss is 0.5349541149939163
2024-12-30 12:31:26 - running Epoch:11, round:78,avg_loss is 0.36477543111843397
2024-12-30 12:31:27 - running Epoch:12, round:78,avg_loss is 0.2743764339557177
2024-12-30 12:31:28 - running Epoch:13, round:78,avg_loss is 0.23983303664983074
2024-12-30 12:31:29 - running Epoch:14, round:78,avg_loss is 0.1647155155203765
2024-12-30 12:31:30 - running Epoch:15, round:78,avg_loss is 0.04848376284294491
2024-12-30 12:31:32 - running Epoch:16, round:78,avg_loss is 0.045343076385840585
2024-12-30 12:31:33 - running Epoch:17, round:78,avg_loss is 0.03571301004318874
2024-12-30 12:31:34 - running Epoch:18, round:78,avg_loss is 0.008596380226479112
2024-12-30 12:31:35 - running Epoch:19, round:78,avg_loss is 0.003273575707438956
2024-12-30 12:31:36 - running Epoch:20, round:78,avg_loss is 0.0021439341303621288
2024-12-30 12:31:37 - running Epoch:21, round:78,avg_loss is 0.0015471410802035015
2024-12-30 12:31:38 - running Epoch:22, round:78,avg_loss is 0.0012341226706033737
2024-12-30 12:31:39 - running Epoch:23, round:78,avg_loss is 0.0010544406172754597
2024-12-30 12:31:40 - running Epoch:24, round:78,avg_loss is 0.00089631252074791
2024-12-30 12:31:41 - running Epoch:25, round:78,avg_loss is 0.0007657567414903094
2024-12-30 12:31:42 - running Epoch:26, round:78,avg_loss is 0.0006750142623602613
2024-12-30 12:31:44 - running Epoch:27, round:78,avg_loss is 0.0006038788105567469
2024-12-30 12:31:44 - running Epoch:28, round:78,avg_loss is 0.0005462693361435793
2024-12-30 12:31:46 - running Epoch:29, round:78,avg_loss is 0.00048426769897076476
2024-12-30 12:31:47 - running Epoch:30, round:78,avg_loss is 0.00044103197442497353
2024-12-30 12:31:48 - running Epoch:31, round:78,avg_loss is 0.00040599856510186637
2024-12-30 12:31:49 - running Epoch:32, round:78,avg_loss is 0.0003668391013140731
2024-12-30 12:31:50 - running Epoch:33, round:78,avg_loss is 0.0003344425493173443
2024-12-30 12:31:51 - running Epoch:34, round:78,avg_loss is 0.00030806474848149367
2024-12-30 12:31:52 - running Epoch:35, round:78,avg_loss is 0.00028874503509023614
2024-12-30 12:31:53 - running Epoch:36, round:78,avg_loss is 0.00026755928871652134
2024-12-30 12:31:54 - running Epoch:37, round:78,avg_loss is 0.00024311717618418903
2024-12-30 12:31:55 - running Epoch:38, round:78,avg_loss is 0.00022692549809786975
2024-12-30 12:31:56 - running Epoch:39, round:78,avg_loss is 0.00020875978285241932
2024-12-30 12:31:57 - running Epoch:40, round:78,avg_loss is 0.00019654062450598172
2024-12-30 12:31:58 - running Epoch:41, round:78,avg_loss is 0.00018167428641367844
2024-12-30 12:32:00 - running Epoch:42, round:78,avg_loss is 0.00017105289230188002
2024-12-30 12:32:01 - running Epoch:43, round:78,avg_loss is 0.00015829143505263483
2024-12-30 12:32:02 - running Epoch:44, round:78,avg_loss is 0.0001493756148814595
2024-12-30 12:32:03 - running Epoch:45, round:78,avg_loss is 0.00014390443594274524
2024-12-30 12:32:04 - running Epoch:46, round:78,avg_loss is 0.00013113122323271523
2024-12-30 12:32:05 - running Epoch:47, round:78,avg_loss is 0.00012478385501190478
2024-12-30 12:32:06 - running Epoch:48, round:78,avg_loss is 0.00011717034205411195
2024-12-30 12:32:07 - running Epoch:49, round:78,avg_loss is 0.00010980662183918625
2024-12-30 12:32:08 - running Epoch:50, round:78,avg_loss is 0.00010238472256062352
2024-12-30 12:32:09 - running Epoch:51, round:78,avg_loss is 9.666153613280482e-05
2024-12-30 12:32:10 - running Epoch:52, round:78,avg_loss is 9.203565262200582e-05
2024-12-30 12:32:11 - running Epoch:53, round:78,avg_loss is 8.720653775388292e-05
2024-12-30 12:32:12 - running Epoch:54, round:78,avg_loss is 8.1445917629348e-05
2024-12-30 12:32:14 - running Epoch:55, round:78,avg_loss is 7.762839595670812e-05
2024-12-30 12:32:15 - running Epoch:56, round:78,avg_loss is 7.282377652090066e-05
2024-12-30 12:32:16 - running Epoch:57, round:78,avg_loss is 6.884372975681672e-05
2024-12-30 12:32:17 - running Epoch:58, round:78,avg_loss is 6.465148652739427e-05
2024-12-30 12:32:18 - running Epoch:59, round:78,avg_loss is 6.149726470562488e-05
2024-12-30 12:32:19 - running Epoch:60, round:78,avg_loss is 5.807896455804393e-05
2024-12-30 12:32:20 - running Epoch:61, round:78,avg_loss is 5.499879344951515e-05
2024-12-30 12:32:21 - running Epoch:62, round:78,avg_loss is 5.2310381174202464e-05
2024-12-30 12:32:22 - running Epoch:63, round:78,avg_loss is 4.999112586775954e-05
2024-12-30 12:32:23 - After train, fl0Client4 gNB_test Accuracy  59.24 %
2024-12-30 12:32:24 - After train, fl0Client4 Test Accuracy  58.099999999999994 %
2024-12-30 12:32:25 - Before train, fl0Client1 gNB_test Accuracy  12.34 %
2024-12-30 12:32:25 - Before train, fl0Client1 client_test Accuracy  12.3 %
2024-12-30 12:32:26 - running Epoch:0, round:78,avg_loss is 2.020708778236486
