2025-01-02 16:14:46 - Model: VGG_12_UE
2025-01-02 16:14:46 - Learning rate: 0.001
2025-01-02 16:14:46 - Number of epochs: 64
2025-01-02 16:14:46 - Train batch size: 64
2025-01-02 16:14:46 - Test batch size: 64
2025-01-02 16:14:46 - Federated learning epochs: 3
2025-01-02 16:14:46 - Number of clients: 5
2025-01-02 16:14:53 - Before train, fl0Client2 gNB_test Accuracy  10.56 %
2025-01-02 16:14:54 - Before train, fl0Client2 client_test Accuracy  11.65 %
2025-01-02 16:14:55 - running Epoch:0, fl156Client2,avg_loss is 2.298026335467199
2025-01-02 16:14:56 - running Epoch:1, fl156Client2,avg_loss is 2.2680130931222515
2025-01-02 16:14:58 - running Epoch:2, fl156Client2,avg_loss is 2.180625001336359
2025-01-02 16:14:59 - running Epoch:3, fl156Client2,avg_loss is 2.1163803414934
2025-01-02 16:15:00 - running Epoch:4, fl156Client2,avg_loss is 2.0808752691669827
2025-01-02 16:15:02 - running Epoch:5, fl156Client2,avg_loss is 2.0506567415917756
2025-01-02 16:15:03 - running Epoch:6, fl156Client2,avg_loss is 2.01914255482376
2025-01-02 16:15:04 - running Epoch:7, fl156Client2,avg_loss is 1.9927786922758552
2025-01-02 16:15:05 - running Epoch:8, fl156Client2,avg_loss is 1.9752098914164646
2025-01-02 16:15:07 - running Epoch:9, fl156Client2,avg_loss is 1.9576258499910877
2025-01-02 16:15:08 - running Epoch:10, fl156Client2,avg_loss is 1.9337738274009364
2025-01-02 16:15:09 - running Epoch:11, fl156Client2,avg_loss is 1.9234572459178365
2025-01-02 16:15:10 - running Epoch:12, fl156Client2,avg_loss is 1.89996445710492
2025-01-02 16:15:12 - running Epoch:13, fl156Client2,avg_loss is 1.8907492692303505
2025-01-02 16:15:13 - running Epoch:14, fl156Client2,avg_loss is 1.8794449499458263
2025-01-02 16:15:14 - running Epoch:15, fl156Client2,avg_loss is 1.865753562587082
2025-01-02 16:15:16 - running Epoch:16, fl156Client2,avg_loss is 1.8535615038719906
2025-01-02 16:15:17 - running Epoch:17, fl156Client2,avg_loss is 1.8508718537676865
2025-01-02 16:15:18 - running Epoch:18, fl156Client2,avg_loss is 1.833806670395432
2025-01-02 16:15:20 - running Epoch:19, fl156Client2,avg_loss is 1.822922275324536
2025-01-02 16:15:20 - Tweak done
2025-01-02 16:15:22 - running Epoch:20, fl156Client2,avg_loss is 4.0064194407432705
2025-01-02 16:15:25 - running Epoch:21, fl156Client2,avg_loss is 1.8897159107171806
2025-01-02 16:15:28 - running Epoch:22, fl156Client2,avg_loss is 1.768361431018562
2025-01-02 16:15:31 - running Epoch:23, fl156Client2,avg_loss is 1.673069579586102
2025-01-02 16:15:33 - running Epoch:24, fl156Client2,avg_loss is 1.6001210372159436
2025-01-02 16:15:36 - running Epoch:25, fl156Client2,avg_loss is 1.5403509610777448
2025-01-02 16:15:38 - running Epoch:26, fl156Client2,avg_loss is 1.4419752291053722
2025-01-02 16:15:41 - running Epoch:27, fl156Client2,avg_loss is 1.3789577491723808
2025-01-02 16:15:44 - running Epoch:28, fl156Client2,avg_loss is 1.3014938375752443
2025-01-02 16:15:47 - running Epoch:29, fl156Client2,avg_loss is 1.1849901349681198
2025-01-02 16:15:49 - running Epoch:30, fl156Client2,avg_loss is 1.1174454692822353
2025-01-02 16:15:52 - running Epoch:31, fl156Client2,avg_loss is 1.022518602526112
2025-01-02 16:15:55 - running Epoch:32, fl156Client2,avg_loss is 0.9487255018228179
2025-01-02 16:15:57 - running Epoch:33, fl156Client2,avg_loss is 0.8854088942716076
2025-01-02 16:16:00 - running Epoch:34, fl156Client2,avg_loss is 0.7847746696062149
2025-01-02 16:16:03 - running Epoch:35, fl156Client2,avg_loss is 0.6850782367074566
2025-01-02 16:16:05 - running Epoch:36, fl156Client2,avg_loss is 0.5879346620125375
2025-01-02 16:16:08 - running Epoch:37, fl156Client2,avg_loss is 0.5454919949458663
2025-01-02 16:16:11 - running Epoch:38, fl156Client2,avg_loss is 0.42663669348902006
2025-01-02 16:16:14 - running Epoch:39, fl156Client2,avg_loss is 0.4269019876885566
2025-01-02 16:16:16 - running Epoch:40, fl156Client2,avg_loss is 0.3954775991143694
2025-01-02 16:16:19 - running Epoch:41, fl156Client2,avg_loss is 0.2919824438015367
